a lot	a lot: adv. muito
admit	<i> vt+vi</i><b> 1 </b>admitir: a) aceitar, permitir, consentir, acolher. <i>to admit into one’s confidence</i><b> </b>/<b> </b>fazer alguém seu confidente. b) reconhecer (a verdade), confessar, revelar. <i>he admited being guilty</i><b> </b>/<b> </b>ele admitiu ser culpado.<b> 2</b> conceder o direito (de passagem, entrada, uso).<b> </b><i>this ticket admits two</i><b> </b>/<b> </b>este bilhete vale para duas pessoas. <b>3</b> tolerar. <b>4</b> comportar, necessitar.<b> 5</b> acomodar.<b> to admit of a doubt </b>dar margem a dúvidas.<b> to admit to bar </b>autorizar a prática da advocacia.
adopt	<i>vt</i> adotar:<b> 1</b> aceitar, admitir, abraçar (princípios). <b>2</b> aprovar, reconhecer. <b>3</b> selecionar livro para uso didático.
adoption	<i> n</i> <b>1</b> adoção. <b>2</b> reconhecimento, aprovação.
adoptive	<i>adj</i> adotivo. <i>they have an adoptive son</i> / eles têm um filho adotivo.
adrenalin	<i>n Pharm</i> adrenalina.
adulatory	<i>adj</i> adulatório.
adult	<i> n</i> <b>1 </b>adulto.<b> 2</b> planta ou animal completamente desenvolvido. • <i>adj</i> adulto. <b>school for adults </b>escola para adultos.
adultery	<i> n</i> adultério.
advance	<i> n</i><b> 1 </b>avanço, avançada.<b> 2</b> progresso, melhoramento, melhoria, melhora. <b>3</b> aumento, acréscimo, elevação. <b>4</b> adiantamento, antecipação, pagamento antecipado.<b> 5</b> mercadoria recebida com antecipação.<b> 6</b> empréstimo.<b> 7</b> <b>advances</b> primeiros passos para entabular entendimentos ou entrar em contato com alguém.<b> 8</b> oferta.<b> 9</b> promoção, ascensão, elevação (no cargo). •<i> vt+vi</i><b> 1 </b>avançar, investir.<b> 2</b> marchar para a frente, levar para diante.<b> 3</b> progredir, melhorar, desenvolver. <b>4</b> auxiliar, ajudar, favorecer, animar, fomentar.<b> 5</b> promover, subir (no cargo ou posição), fazer progredir.<b> 6</b> aumentar, encarecer.<b> 7</b> apressar, acelerar, antecipar. <b>8</b> adiantar, pagar ou suprir antecipadamente.<b> 9</b> emprestar, ceder. <b>10</b> sugerir, aventar. <b>11</b> explicar, expor. •<i> adj</i> <b>1 </b>avançado.<b> 2</b> adiantado, antecipado. <b>in advance</b> na frente, adiantado. <b>payment in advance </b>pagamento adiantado. <b>to be in advance of someone</b> estar à frente de alguém.
advancement	<i>n</i> <b>1 </b>avanço, adiantamento. <b>2</b> progresso, melhoramento, melhoria.<b> 3</b> promoção, elevação (de categoria), subida de posto.
advantage	<i> n</i> <b>1 </b>vantagem, primazia, superioridade. <b>2</b> imposição.<b> 3</b> predominância, preponderância.<b> 4</b> benefício, lucro, prerrogativa.<b> 5</b> proveito, aproveitamento. <b>6</b> <i>Sport</i> primeiro ponto ganho no jogo de tênis após o empate (de 40 pontos). • <i>vt</i> favorecer, oferecer vantagens, beneficiar. <b>seen to advantage</b> na melhor hipótese. <b>to take advantage of 1 </b>aproveitar, tirar partido ou vantagem. <b>2</b> impor. <b>to the best advantage</b> com o maior proveito ou lucro.<b> to your advantage</b> no seu interesse.
adventitiously	<i>adv</i> adventiciamente.
adventure	<i>n</i> <b>1 </b>aventura, peripécia. <b>2</b> façanha, proeza.<b> 3</b> coragem, ousadia, arrojo.<b> 4</b> negócio arriscado, especulação. • <i>vt+vi</i> aventurar(-se), arriscar(-se), atrever(-se), ousar. <b>a</b> <b>life of adventure</b> uma vida de aventuras.
advert	<i> vi</i><b> 1 </b>advertir, chamar a atenção a (alguma coisa), fazer ver a, atentar a. <b>2</b> referir(-se) a, aludir a.
advertise	advertise: anunciar
advertisement	<i>n</i> anúncio, propaganda.
advertising	<i>n</i><b> 1 </b>publicidade, propaganda.<b> 2</b> anúncio, cartaz.
advice	<i> n</i><b> 1 </b>conselho, parecer, recomendação, opinião.<b> </b><i>my advice to you is</i> / eu o aconselho a. <b>2</b> informação, comunicação, notícia, novidade. <b>a piece of advice</b> um (bom) conselho. <b>as per advice</b> conforme notícias.<b> by the advice of </b>a conselho de.
advisable	<i> adj</i><b> 1 </b>aconselhável, recomendável.<b> 2</b> apropriado, oportuno.<b> 3</b> conveniente.
advise	<i> vt+vi</i> <b>1 </b>aconselhar, recomendar, advertir.<b> 2</b> avisar, informar, cientificar.<b> 3</b> consultar, receber ou tomar conselhos.<b> 4</b> deliberar, refletir (<b>on</b>,<b> about</b> sobre).
advisory	<i> adj</i> consultivo, aconselhador.
advocate	<i>n</i> patrono, defensor (perante a justiça), protetor, <i>Brit </i>advogado. • [´ædv2keit]<i> vt</i> advogar, defender.
aeolian	<i> adj</i> eólio, eólico.
aeolipile	<i>n </i>= <b>aeolipyle.</b>
aerial	<i> n Radio</i> antena. •<i> adj</i><b> 1 </b>aéreo, atmosférico.<b> 2</b> leve, fino, gasoso, etéreo.<b> 3</b> ideal.<b> 4</b> imaginário, imaterial.<b> 5</b> que vive e cresce no ar.<b> 6</b> alto, elevado. <b>7</b> aviatório. <b>frame aerial</b> <i>Radio</i> antena de quadro.
aerodrome	<i> n</i> aeródromo, aeroporto.
aerogram	<i> n</i> radiograma, aerograma.
aerologist	<i>n</i> aerologista, aerólogo: especialista em aerologia.
aeronautic	<i> adj</i> aeronáutico.
aesthesia	<b> </b><i>n </i>faculdade de sentir, sensibilidade.
aesthetic	<b> </b><i>adj</i><b> </b>estético, harmonioso.
affair	<i> n</i><b> 1 </b>afazeres de qualquer natureza, ocupação, obrigação.<b> 2</b> <b>affairs</b> negócios (de Estado ou de finanças).<b> 3</b> acontecimento, incidente, ocorrência.<b> 4</b> questão, caso particular, assunto reservado. <i>that is my affair!</i> / isto é comigo! <i>that is not my affair!</i> / isto não me importa! <b>5</b><i> coll </i>coisa. <i>a splendid affair</i> / uma coisa espetacular. <b>6</b> romance, namoro. <i>he has an affair with</i> / ele tem um caso com. <b>affair</b> <b>of honour </b>questão de honra, duelo. <b>Minister of Foreign Affairs </b>Ministro das Relações Exteriores. <b>to make an affair of something</b> exagerar, promover uma tempestade num copo d’água.
affect	<i> n</i> <b>1 </b>sentimento, inclinação, paixão. <b>2 </b><i>Psych</i> afeto. •<i> vt</i> fingir, assumir, simular, aparentar. <i>he affected not to know her</i><b> </b>/<b> </b>ele fez de conta que não a conhecia. <b>to affect indifference </b>aparentar indiferença. <i>vt</i> <b>1 </b>afetar, ter influência sobre, produzir efeito.<b> 2</b> <i>Med</i> atacar, contaminar.<b> 3</b> abalar, agitar, causar emoções.
affirm	<i> vt+vi</i> <b>1 </b>afirmar, asseverar, assegurar.<b> 2</b> firmar, confirmar, certificar, ratificar.<b> 3</b><i> Jur</i> declarar solenemente (sem prestar juramento).
affirmation	<i> n</i><b> 1</b><i> Jur</i><b> </b>afirmação solene (equivalente ao juramento), atestação, declaração, asserção.<b> 2</b> ratificação, confirmação.
afford	<i> vt</i> <b>1</b> dispor de economias, poder gastar, ter recursos.<i> I can afford to take a taxi</i> / posso arcar com as despesas de um táxi. <i>I can’t afford travelling now</i> / não tenho recursos para viajar agora.<b> 2</b> permitir-se, dar-se o luxo de, arranjar (tempo, dinheiro).<b> 3</b> proporcionar, propiciar, causar. <i>it affords me great satisfaction</i> /<i> </i>isto me proporciona grande satisfação.<b> 4</b> fornecer, dar, produzir. <i>the land affords minerals</i><b> </b>/<b> </b>o solo fornece minerais.
african	African: adj. africano
after	<i> adj</i><b> 1 </b>subseqüente, ulterior, posterior, seguinte.<b> 2</b><i> Naut </i>de popa ou ré. •<i> adv</i><b> 1 </b>atrás, detrás, em seguida.<b> </b><i>the dog trots after him</i><b> </b>/<b> </b>o<b> </b>cão corre<b> </b>atrás dele.<b> 2</b> depois, após, posteriormente. <i>this was after I had married</i><b> </b>/<b> </b>isto foi após o meu casamento. • <i>conj</i> depois que, logo que. •<i> prep</i> <b>1 </b>atrás de, após, depois de.<b> </b><i>what are you after?</i><b> </b>/<b> </b>atrás de que você anda? <b>2</b> em seguimento a, em seqüência a.<b> 3</b> em perseguição de, ao encalço de.<b> 4</b> acerca de, a respeito de, sobre.<b> 5</b> por causa de, em conseqüência de. <i>I was named after my grandmother</i> /<i> </i>eu recebi o nome da minha avó. <b>6</b> à maneira de, à moda de.<b> 7</b> abaixo de, inferior a.<b> 8</b> segundo, de acordo com, conforme.<b> 9</b> em atenção a, em consideração a, em homenagem a. <b>after all </b>afinal. <b>after date of delivery</b> após a data de entrega.<b> after death the doctor </b>trancar a porta depois que o ladrão entrou. <b>after</b> <b>hours </b>após o expediente. <b>after this fashion </b>deste modo.<b> day after day</b> dia após dia. <b>in after years</b> em<b> </b>anos vindouros.<b> six months after </b>seis meses<b> </b>depois. <b>the after sail</b><i> </i>a vela de popa.<b> the day after tomorrow </b>depois de amanhã. <b>the month after next </b>o mês após o próximo.<b> the morning after </b>na manhã seguinte. <b>to</b> <b>ask after</b> perguntar por. <b>to follow</b> <b>after</b> seguir imediatamente.<b> to long after</b> pretender, desejar alguma coisa,<b> </b>ter saudade de. <b>to look after</b> tomar conta de, cuidar de.
after this manner	after this manner: adv. desta guisa
afternoon	<i> n</i> tarde. •<i> adj</i> vesperal, na tarde, de ou relativo à tarde. <b>every Wednesday</b> <b>afternoon</b> toda quarta-feira à tarde.<b> good afternoon </b>boa-tarde. <b>late afternoon</b> à noitinha.<b> this afternoon</b> hoje à tarde.
afterwards	<i> adv </i>posteriormente, subseqüentemente, mais tarde.
again	<i> adv</i><b> 1 </b>mais uma vez, de novo, novamente, outra vez.<b> </b><i>I shall call again </i>/ voltarei a chamar, chamarei de novo (pelo telefone). <b>2</b> em resposta, em retribuição.<b> 3</b> de volta ao mesmo lugar ou à mesma pessoa. <b>4 </b>além disso, demais, porém.<b> 5</b> por outro lado. <b>again and</b> <b>again</b> freqüentemente, muitas vezes.<b> as</b> <b>much again </b>duas vezes mais, o dobro.<b> ever and again, now and again </b>de vez em<b> </b>quando. <b>over again</b> mais uma vez. <b>time and again</b> sempre de novo, repetidas vezes.<b> to</b> <b>come again</b> voltar.<b> to try again</b> tentar novamente.
against	<i>prep</i> <b>1 </b>contra, contrário.<b> </b><i>I am against war</i><b> </b>/<b> </b>sou contra a guerra. <i>that is against him</i><b> </b>/<b> </b>isto depõe contra ele.<b> 2</b> em oposição a, oposto a.<b> 3</b> defronte, diante.<b> 4</b> em contraste com, em comparação com.<b> 5</b> em contato com, junto a.<b> 6</b> em preparação para, em previsão de. <b>7</b> em defesa de. <b>against documents</b> mediante apresentação de documentos.<b> against</b> <b>morals</b> contra os bons<b> </b>costumes.<b> against</b> <b>the grain </b>contra a própria convicção, com aversão.<b> against</b> <b>your arrival </b>na expectativa da sua chegada.<b> against the stream </b>contra a correnteza.<b> to dry against the fire </b>secar ao fogo.<b> to fight against </b>lutar<b> </b>contra.<b> to knock against</b> colidir com. <b>to run up against </b>encontrar por acaso. <i>I ran up against my friend</i><b> </b>/ encontrei por acaso meu amigo.
age	<i> n</i><b> 1 </b>idade.<i> he is her age</i> / ele tem a idade dela. <i>what age do you give him?</i><b> </b>/<b> </b>qual é a idade que você lhe dá?<b> </b><i>he does not look his age</i> / ele parece mais moço do que é. <b>2</b> período de vida alcançado.<b> 3</b> velhice, idade avançada.<b> 4</b> duração provável da vida, probabilidade de vida. <b>5</b> <i>Psych</i> desenvolvimento intelectual (em comparação com a norma).<b> 6</b> século, período histórico, era, época.<b> 7</b> geração. <b>8</b><i> </i><b>ages, an age </b><i>coll </i>período extenso.<b> </b><i>I have been waiting ages</i><b> </b>/<b> </b>esperei uma eternidade. •<i> vt+vi</i> <b>1 </b>envelhecer, ficar velho.<b> 2</b> sazonar, amadurecer. <b>age-bracket </b>faixa etária. <b>age</b> <b>of manhood </b>idade viril. <b>age</b> <b>of minority </b>menoridade. <b>at a great age</b> numa idade avançada. <b>at an early age</b> bem cedo na vida. <b>be your age</b> não seja infantil.<b> down the ages </b>através dos séculos. <b>he is under age</b> ele é menor. <b>in old age</b> na idade madura. <b>in our age</b> em nossa época. <b>in tender age</b> na infância. <b>of</b> <b>age</b> maioridade. <b>the Middle Ages </b>a Idade Média. <b>to a great age</b> até à extrema velhice. <b>to be over age</b> ter passado o limite de idade.<b> to come of age</b> atingir a maioridade.
agency	<i> n</i><b> 1 </b>ação, atividade, função. <b>2</b> agência: a) representação, mediação, intervenção. b) escritório de representações, filial de repartição pública, bancária ou comercial. <b>employment agency</b> agência de empregos.
agent	<i> n</i><b> 1 </b>agente: a) representante, corretor, comissário. b) administrador. c) causa, força, agente natural.<b> 2</b><i> coll </i>vendedor. <b>3</b><i> Chem </i>reagente.<b> free agent</b> pessoa que age independentemente.<b> physical agents</b> forças naturais.
aggrandizer	<i> n</i> engrandecedor.
aggravate	<i> vt</i> <b>1 </b>agravar, piorar, exacerbar.<b> 2</b><i> coll </i>importunar, irritar, provocar.
aggressive	<i> adj</i><b> 1</b> agressivo, ofensivo.<b> 2</b> <i>Amer </i>ativo, dinâmico. <b>an</b> <b>aggressive executive</b> um executivo dinâmico.
agitate	<i> vt+vi</i><b> 1</b> agitar, sacudir, chocalhar.<b> 2</b> perturbar, inquietar.<b> 3</b> discutir, debater.<b> 4</b> suscitar, ventilar.<b> 5</b> excitar.
agoraphobia	<i> n Path</i> agorafobia: medo patológico de estar em lugares abertos.
agrarian	<i> n</i> agrariano: partidário da redistribuição das propriedades rurais. •<i> adj</i> agrário, relativo aos campos e à agricultura, campestre.<b> </b>
agree	<i>vt+vi</i><b> 1</b> concordar, estar de acordo, ser da mesma opinião. <i>she never agrees with me</i> / ela nunca concorda comigo.<b> 2</b> harmonizar, corresponder (<b>with</b> com).<b> </b><i>unripe fruit does not agree with me</i><b> </b>/ frutas verdes me fazem mal.<b> 3</b> viver em harmonia, dar-se bem.<b> 4</b> consentir, anuir.<b> 5</b> chegar a um entendimento ou acordo, fazer ajuste, combinar, pactuar.<b> 6</b><i> Gram</i> concordar. <b>as agreed upon! </b>como combinado! <b>it’s agreed upon!</b> de acordo, está combinado!<b> let us agree to differ! </b>são pontos de vista diferentes, mas não vamos discutir por isso.<b> to agree to something</b> estar de acordo com alguma coisa.
agreement	<i> n</i><b> 1</b> consentimento, autorização.<b> 2</b> entendimento, concordância de opinião, concórdia.<b> 3</b> harmonia, conformidade.<b> 4</b> acordo, contrato, pacto, convenção.<b> 5</b><i> Gram</i> concordância. <b>by agreement</b> conforme combinação. <b>by general agreement </b>por<b> </b>unanimidade.<b> by mutual agreement </b>de<b> </b>mútuo acordo.<b> forced agreement</b><i> Com</i> concordata judicial.<b> gentleman’s agreement</b> acordo de cavalheiros. <b>to come to an agreement</b> chegar a um entendimento. <b>to enter into an agreement</b> entrar em acordo. <b>verbal agreement</b> acordo verbal.
agricultural	<i> adj</i> agrícola, agrário.
agriculturalist	<i>n</i> = <b>agriculturist.</b>
agriculture	<i> n</i> agricultura.
ahead	<i> adv</i><b> 1</b> à frente, adiante, na dianteira.<b> </b><i>his ideas are ahead of our time </i>/<i> </i>as suas idéias ultrapassam a nossa época. <b>2</b><i> coll Amer </i>para diante, em posição vantajosa ou avançada.<b> 3</b> antes, na frente, primeiro.<b> 4</b> <i>Amer </i>antecipadamente. <b>go ahead!</b> avante! <b>I</b> <b>can’t go ahead</b> não consigo progredir. <b>look ahead! 1</b> cuidado, atenção!<b> 2</b> pense no futuro! <b>right ahead!</b> siga diretamente!<b> to be ahead</b> estar à frente.<b> to get ahead</b> avançar, prosperar. <b>to get ahead of </b>tomar a dianteira de, ultrapassar.<b> to go on ahead</b> ir à frente, avançar, progredir. <b>to</b> <b>run ahead of </b>correr na dianteira de (também <i>fig</i>).
aid	<i> n</i><b> 1</b> ajuda, auxílio, apoio, socorro, amparo. <b>2</b> ajudante,<b> </b>auxiliar.<b> 3</b><i> abbr </i><b>aid-de-camp</b>. • <i>vt+vi</i> ajudar, auxiliar, socorrer. <b>to aid someone in a</b> <b>thing </b>apoiar alguém num empreendimento. <b>to come to somebody’s aid</b> prestar auxílio a alguém. <b>to give aid to </b>socorrer a alguém.
aim	<i> n</i><b> 1</b> pontaria, mira, ato de visar (arma).<b> 2</b> linha de mira, campo de visão.<b> 3</b> alvo, objetivo. <b>4</b> intenção, propósito, desígnio. • <i>vt+vi</i><b> 1</b> apontar, visar, fazer pontaria.<b> </b><i>the man aimed at his enemy</i><b> </b>/<b> </b>o homem visou o seu inimigo. <b>2</b> concentrar os esforços para, almejar, ansiar.<b> </b><i>he aimed at a rich marriage</i><b> </b>/<b> </b>ele<b> </b>almejava um casamento rico. <b>3</b> <i>Amer </i>intencionar, planejar, objetivar.<b> 4</b> <i>Amer </i>intentar. <b>to take aim at</b> visar alguém ou alguma coisa (também <i>fig</i>).
